GG package,Pullman Box,Genus ,Species,Accn Number,% normal germ,% total germ (incl. abnormal+clip),% dormant,% viable,% empty,% dead,100 Seed Weight (g),100 Seed Inert Weight (g),Total Sample Weight (g),NLGRP Weight (g),Pullman Weight (g),Collector Weight (g),GRIN Weight (g),Total Estimated Seeds (#),NLGRP Estimated Seed (#),Pullman Estimated Seed (#),Collector Estimated Seed (#),GRIN Estimated Seed (#),Notes
1,2,Fimbristylis,castanea,NCBG-546,0.00,0.00,0.71,0.71,0.00,0.29,0.0318,0.0678,63.65,3.89,3.93,50.86,3.92,63906,3906,3946,51064.25703,3935.742972,
1,1,Fimbristylis,castanea,NCBG-548,0.00,0.00,0.44,0.44,0.00,0.56,0.0408,0.0713,77.97,4.05,4.05,63.34,4.08,69554,3613,3613,56503.12221,3639.607493,
1,2,Fimbristylis,castanea,NCBG-562,0.00,0.00,0.58,0.58,0.03,0.39,0.0385,0.0398,37.31,3.72,3.78,25.66,3.77,47650,4751,4828,32771.39208,4814.814815,
1,2,Fimbristylis,castanea,NCBG-742,0.00,0.00,0.65,0.65,0.01,0.34,0.0407,0.0721,55.03,3.81,3.84,41.96,3.81,48785,3378,3404,37198.58156,3377.659574,
2,1,Gaultheria,procumbens,NEWFS-616,0.39,0.39,0.04,0.43,0.45,0.12,0.0326,0.0129,4.3569,1.49,1.45,0,1.42,9576,3275,3187,0,3120.879121,
NA,2,Gaultheria,procumbens,NEWFS-926,0.23,0.23,0.04,0.27,0.62,0.11,0.0401,0.2457,6.2149,3.09,3.09,,0,2175,1081,1081,0,0,
NA,2,Gaylussacia,baccata,NEWFS-351,,,,0.00,0.20,0.80,0.1123,0.172,15.7171,7.83,7.88,,0,5528,2754,2772,0,0,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
2,1,Glyceria,canadensis,NEWFS-650,0.03,0.03,0.94,0.97,0.00,0.03,0.0439,0.0051,1080.59,15.88,15.89,1037.64,15.9,2205286,32408,32429,2117632.653,32448.97959,
1,2,Glyceria,canadensis,NEWFS-665,0.02,0.02,0.96,0.98,0.00,0.02,0.0573,0.0172,61.75,3.04,3.03,50.92,3.08,82886,4081,4067,68348.99329,4134.228188,
1,2,Glyceria,canadensis,NEWFS-698,0.05,0.05,0.36,0.41,0.00,0.59,0.047,0.0089,25.99,0.031,3.01,20.86,3,46494,55,5385,37316.63685,5366.726297,
1,2,Helenium,autumnale,NCBG-398,0.87,0.87,0.00,0.87,0.13,0.00,0.0398,0.0411,18.8,2.7,2.69,11.64,1.7,23239,3337,3325,14388.1335,2101.359703,
1,1,Hibiscus,moscheutos,NCBG-489,0.68,0.77,0.04,0.77,0.00,0.23,0.8382,0,174.5604,27.9244,27.7467,91.96,27.865,20826,3331,3310,10971.12861,3324.385588,
NA,NA,Hibiscus,moscheutos,NEWFS-317,,,,,,,N/A,,,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Sample on packing list but not included in shipment
NA,2,Hibiscus,moscheutos,NEWFS-896,0.43,0.62,0.04,0.62,0.00,0.38,0.8273,3.4697,81.0921,40.5,40.61,0,0,1887,943,945,0,0,
NA,2,Hieracium,panicalatum,NEWFS-366,0.09,0.09,0.20,0.29,0.62,0.09,0.0177,0.0211,3.6027,1.84,1.88,,,9285,4742,4845,0,0,
NA,1,Hudsonia,ericoides,MARSB-134,0.01,0.01,0.74,0.75,0.00,0.25,0.0248,1.237,21.87,10.28,10.19,0,0,1733,815,808,0,0,
2,1,Hudsonia,tomentosa,MARSB-132,0.05,0.14,0.72,0.86,0.10,0.04,0.0503,1.7711,405.93,60.73,60.73,239.29,60.72,22287,3334,3334,13137.69628,3333.699352,
2,2,Hudsonia,tomentosa,MARSB-133,0.04,0.06,0.81,0.87,0.06,0.07,0.0472,0.9997,1057.48,56.07,56.05,916.45,56.05,101011,5356,5354,87539.40204,5353.901996,
2,1,Hudsonia,tomentosa,MARSB-137,0.00,0.06,0.47,0.53,0.46,0.01,0.0355,2.001,468.69,67.88,67.91,247.07,67.88,23014,3333,3335,12132.08937,3333.169654,
2,none assigned,Hudsonia,tomentosa,MARSB-144,0.12,0.12,0.54,0.66,0.28,0.06,0.0454,1.872,301.82,63.9,63.89,123.48,63.9,15741,3333,3332,6439.970794,3332.637947,
2,2,Hudsonia,tomentosa,NCBG-713,0.04,0.06,0.47,0.54,0.38,0.08,0.0433,1.4013,344.9,48.14,48.17,197.55,48.14,23875,3332,3334,13675.06576,3332.410356,
2,1,Hudsonia,tomentosa,NEWFS-259,0.00,0.00,0.30,0.30,0.70,0.00,0.0442,1.071,656.09,61.15,61.15,482.03,61.14,58832,5483,5483,43223.63702,5482.424677,
NA,2,Hypericum,canadense,NEWFS-836,0.02,0.02,0.03,0.05,0.00,0.95,0.0029,0.9332,35.44,19.09,18.95,0,0,3786,2039,2024,0,0,
1,2,Ilex,opaca,NCBG-390,0.00,0.00,0.45,0.45,0.00,0.55,1.5975,0.26465,194.7755,62.12,62.06,8.83,62.03,10460,3336,3333,474.183068,3331.095776,
1,2,Ilex,opaca,NCBG-425,0.00,0.00,0.74,0.74,0.00,0.26,1.5791,0.0123,267.36,53.54,53.57,106.99,53.65,16800,3364,3366,6723.011185,3371.245444,
1,2,Ilex,verticillata,NCBG-565,0.00,0.00,0.52,0.52,0.00,0.48,0.5726,0.0129,126.87,22.89,22.77,47.48,22.84,21669,3909,3889,8109.308284,3900.939368,
NA,NA,Ilex,verticullata,NEWFS-606,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Seeds were  found to be too moldy to clean and test. The sample was discarded. 
1,1,Ilex,verticullata,NEWFS-939,0.00,0.00,0.79,0.79,0.00,0.21,0.9674,1.105,314.9612,69.08,69.14,106.54,69.17,15198,3333,3336,5140.89944,3337.676124,
2,2,Iris,versicolor,NCBG-595,0.59,0.62,0.19,0.81,0.00,0.19,5.7883,0,459.12,154.9,153.32,0,153.64,7932,2676,2649,0,2654.319921,
3 and 2,1,Iva,frutescens,NCBG-743,0.55,0.55,0.10,0.65,0.27,0.08,0.0988,0.1741,183.91,7.62,7.64,160.61,7.61,67391,2792,2800,58853.05973,2788.567241,
3,1,Iva,frutescens,NCBG-744,0.47,0.47,0.06,0.53,0.41,0.06,0.0901,0.2039,130.86,7.42,7.43,108.53,7.41,44510,2524,2527,36914.96599,2520.408163,
2,1,Iva,frutescens,NEWFS-712,0.00,0.00,0.00,0.00,1.00,0.00,0.1705,0.6498,529.6,41.04,41.48,404.35,41.72,64562,5003,5057,49292.94161,5085.944167,
2,1,Iva,frutescens,NEWFS-734,0.24,0.24,0.00,0.24,0.75,0.01,0.1027,0.8006,144.04,30.1,30.07,53.78,30.1,15946,3332,3329,5953.72523,3332.226281,
2,1,Iva,frutescens,NEWFS-738,0.17,0.17,0.05,0.22,0.63,0.15,0.1247,0.5073,854.72,29.45,29.42,764.49,29.46,135241,4660,4655,120963.6076,4661.392405,
none assigned,none assigned,Iva,frutescens,NEWFS-743,0.10,0.10,0.07,0.17,0.81,0.02,0.0895,0.4931,689.79,23.92,23.44,600.16,23.99,118399,4106,4023,103014.0748,4117.748026,
2,1,Iva,frutescens,NEWFS-815,0.41,0.41,0.10,0.51,0.41,0.08,0.0992,0.8921,162.93,33.05,33.06,62.91,33.07,16436,3334,3335,6346.212045,3336.023404,
3,1,Juncus,canadensis,NEWFS-924,0.98,0.98,0.00,0.98,0.00,0.02,0.003,0.0722,16.72,2.55,2.57,8,2.54,22234,3391,3418,10638.29787,3377.659574,
3,1,Juncus,effusus,NEWFS-337,0.99,0.99,0.00,0.99,0.00,0.01,0.0025,0.1099,151.88,5.28,5.28,130.76,5.29,135125,4698,4698,116334.5196,4706.405694,
NA,NA,Juncus,effusus,NEWFS-359,,,,,,,0.0041,0.0497,,0,0,0,0,0,0,0,0,0,"Seeds were discovered to contaminated by a leaking plastic bag from a different sample stored wet. Though the sample was stored, it was not tested. "
3,1,Juncus,effusus,NEWFS-360,1.00,1.00,0.00,1.00,0.00,0.00,0.0035,0.0501,64.45,2.21,2.21,57.76,2.23,120243,4123,4123,107761.194,4160.447761,
3,1,Juncus,effusus,NEWFS-664,0.65,0.65,0.22,0.87,0.00,0.13,0.004,0.0911,105.21,5.47,5.49,88.77,5.45,110631,5752,5773,93343.84858,5730.809674,
